Keyword,Avg. Search Volume,Location,CPC,PPC,KD,Search Volume 07/2015,Search Volume 08/2015,Search Volume 09/2015,Search Volume 10/2015,Search Volume 11/2015,Search Volume 12/2015,Search Volume 01/2016,Search Volume 02/2016,Search Volume 03/2016,Search Volume 04/2016,Search Volume 05/2016,Search Volume 06/2016,Search Volume 07/2016,Search Volume 08/2016,Search Volume 09/2016,Search Volume 10/2016,Search Volume 11/2016,Search Volume 12/2016,Search Volume 01/2017,Search Volume 02/2017,Search Volume 03/2017,Search Volume 04/2017,Search Volume 05/2017,Search Volume 06/2017,Search Volume 07/2017,Search Volume 08/2017,Search Volume 09/2017,Search Volume 10/2017,Search Volume 11/2017,Search Volume 12/2017,Search Volume 01/2018,Search Volume 02/2018,Search Volume 03/2018,Search Volume 04/2018,Search Volume 05/2018,Search Volume 06/2018,Search Volume 07/2018,Search Volume 08/2018,Search Volume 09/2018,Search Volume 10/2018,Search Volume 11/2018,Search Volume 12/2018,Search Volume 01/2019,Search Volume 02/2019,Search Volume 03/2019,Search Volume 04/2019,Search Volume 05/2019,Search Volume 06/2019,Search Volume 07/2019
cây x??ng r?ng,6600,Vietnam,0.02,100,18,1000,1300,1300,1600,1600,1300,1600,1300,1900,1900,2400,1600,1900,2400,2400,2900,2400,2400,2400,2900,2900,2400,2900,2400,2900,2900,3600,4400,5400,5400,6600,4400,6600,5400,5400,5400,5400,6600,5400,6600,6600,6600,6600,5400,8100,6600,8100,6600,0
cây sen ?á,5400,Vietnam,0.02,100,14,880,1300,1000,1000,1000,1000,1300,1300,1900,12100,4400,5400,4400,8100,3600,4400,4400,4400,6600,6600,6600,5400,3600,3600,4400,5400,5400,6600,6600,5400,6600,5400,6600,5400,4400,4400,3600,4400,4400,6600,6600,6600,6600,4400,5400,4400,3600,3600,0
hoa x??ng r?ng,5400,Vietnam,0.01,96,22,0,0,0,0,1600,1300,1600,1000,1900,1900,1900,1900,1900,2400,2400,2400,1900,1600,1600,1900,2400,2400,2400,2400,2400,2400,2400,3600,2900,2900,2900,2400,4400,4400,5400,5400,5400,5400,5400,5400,5400,5400,4400,4400,5400,5400,5400,4400,0
gai c?t s?ng,4400,Vietnam,0.27,71,21,0,0,0,0,1300,880,880,590,1300,1600,1600,880,720,1000,1000,1000,1000,880,880,1300,1300,1000,1000,1300,1600,1300,1300,1300,1300,1300,1300,1000,1900,1900,3600,4400,5400,5400,4400,5400,4400,4400,3600,2900,4400,3600,1900,2400,0
x??ng r?ng c?nh,1000,Vietnam,0.02,100,25,0,0,0,0,0,0,480,390,590,880,880,720,1000,1000,1000,1000,590,590,720,720,880,880,1300,720,480,480,880,880,720,720,880,880,1600,1300,1000,880,1000,1000,1000,1300,1600,1000,1000,880,1000,1000,720,720,0
b?nh gai c?t s?ng,880,Vietnam,0.35,73,20,0,0,0,0,590,390,320,260,590,720,590,720,720,720,590,720,590,480,390,590,590,590,720,720,880,1300,1600,1300,1000,880,720,720,1300,1000,1300,1000,1300,1300,1000,1300,1000,880,880,590,1000,720,390,390,0
các lo?i x??ng r?ng,880,Vietnam,0.03,98,,0,0,0,0,0,0,0,0,480,480,590,480,590,590,590,480,590,480,480,590,590,480,480,390,390,390,390,480,480,390,480,590,880,880,880,880,880,1000,880,1000,1000,1000,1000,880,1000,880,880,720,0
cay xuong rong,880,Vietnam,0.02,100,48,0,0,0,0,0,0,1900,1600,1900,2400,2400,1900,1900,2900,2400,2900,2900,2400,2400,2400,2900,2400,2400,1900,2400,2400,2400,2400,1900,1000,1300,880,1000,1000,880,880,880,880,880,1000,1300,1300,1000,880,1000,880,590,590,0
xuong rong,720,Vietnam,0.02,98,21,0,0,0,0,0,0,880,720,880,880,880,880,880,1000,880,1000,1000,880,880,880,1000,880,880,720,880,720,880,880,880,880,880,720,1000,1000,880,590,720,720,880,720,880,880,720,590,720,720,590,590,0
hoa x??ng r?ng ??p,590,Vietnam,0.01,100,,0,0,0,0,0,0,0,0,720,480,590,720,720,590,590,590,880,720,720,720,1300,880,480,480,390,390,880,880,880,720,880,590,1000,720,720,590,720,590,320,590,720,390,480,390,590,480,590,590,0
cay sen da,590,Vietnam,0.01,100,26,260,480,320,320,320,320,320,390,480,4400,1000,1600,1000,2900,1000,1300,1000,1000,1600,1600,1300,1300,1000,720,1000,1300,1000,1300,1300,1000,1000,880,1000,880,720,590,590,720,720,880,880,720,880,590,720,480,320,320,0
x??ng r?ng ?á,590,Vietnam,0.03,100,33,110,260,170,170,170,170,210,210,260,320,320,260,390,480,390,480,590,590,590,720,720,480,320,320,320,320,390,720,720,720,720,590,880,720,720,480,590,590,590,720,720,720,720,480,720,590,480,320,0
cây x??ng r?ng c?nh,590,Vietnam,0.02,100,,110,210,260,390,260,320,320,210,260,590,590,480,590,880,590,720,720,720,720,880,880,590,480,390,590,590,590,720,720,720,590,590,590,480,480,590,720,720,880,1000,720,480,480,590,720,480,480,480,0
hoa xuong rong,590,Vietnam,0,90,21,0,0,0,0,0,0,4400,3600,4400,4400,4400,4400,4400,6600,5400,4400,3600,3600,2900,3600,3600,2900,3600,2900,2900,2900,2900,5400,3600,2900,2400,1900,2900,1600,1300,880,720,720,720,720,590,590,480,390,590,480,480,480,0
ch?u hoa ??p,578,Vietnam,0.03,100,22,0,0,0,0,262,262,444,262,391,320,262,213,213,262,320,320,320,320,444,320,320,262,262,213,262,262,320,391,391,391,444,444,444,578,578,391,444,578,578,711,844,711,844,444,578,391,444,391,0
ch?a gai c?t s?ng,480,Vietnam,0.59,100,31,0,0,0,0,210,260,260,260,390,590,590,480,590,590,480,480,480,480,320,480,480,480,590,480,590,590,480,390,390,390,390,390,720,390,480,480,590,590,590,590,480,480,320,260,480,480,480,390,0
